iter	Passed	Remaining
546	697	457
547	698	456
548	699	455
549	701	453
550	702	452
551	703	451
552	704	449
553	705	448
554	706	447
555	708	445
556	709	444
557	710	443
558	712	442
559	713	440
560	714	439
561	715	438
562	716	436
563	718	435
564	721	435
565	723	434
566	725	433
567	726	432
568	727	431
569	728	429
570	730	428
571	731	427
572	732	425
573	734	424
574	737	424
575	738	423
576	739	421
577	741	420
578	742	419
579	743	417
580	744	416
581	745	415
582	746	413
583	748	412
584	749	411
585	750	409
586	751	408
587	752	407
588	753	405
589	755	404
590	756	403
591	757	401
592	758	400
593	759	399
594	760	397
595	762	396
596	763	395
597	764	393
598	765	392
599	766	390
600	767	389
601	769	388
602	770	387
603	771	385
604	772	384
605	773	383
606	775	381
607	776	380
608	777	379
609	778	377
610	779	376
611	780	375
612	782	373
613	783	372
614	784	371
615	785	369
616	786	368
617	787	367
618	788	365
619	790	364
620	791	363
621	792	361
622	793	360
623	794	359
624	796	357
625	797	356
626	798	355
627	799	353
628	800	352
629	801	351
630	803	350
631	804	348
632	805	347
633	806	346
634	808	344
635	809	343
636	810	342
637	811	340
638	812	339
639	813	338
640	815	336
641	816	335
642	817	334
643	818	333
644	819	331
645	820	330
646	822	329
647	823	327
648	824	326
649	825	325
650	826	323
651	827	322
652	829	321
653	830	319
654	831	318
655	832	317
656	833	315
657	834	314
658	835	313
659	836	311
660	838	310
661	839	309
662	840	308
663	841	306
664	843	305
665	844	304
666	846	303
667	847	301
668	848	300
669	849	299
670	852	298
671	853	297
672	854	295
673	855	294
674	857	293
675	858	292
676	859	290
677	860	289
678	861	288
679	863	286
680	864	285
681	865	284
682	866	282
683	867	281
684	869	280
685	870	279
686	871	277
687	872	276
688	873	275
689	875	273
690	876	272
691	877	271
692	878	270
693	879	268
694	881	267
695	882	266
696	883	264
697	884	263
698	885	262
699	886	261
700	888	259
701	889	258
702	890	257
703	891	255
704	892	254
705	894	253
706	895	251
707	896	250
708	897	249
709	898	248
710	899	246
711	900	245
712	901	244
713	903	242
714	904	241
715	905	240
716	906	238
717	907	237
718	908	236
719	910	235
720	911	233
721	912	232
722	913	231
723	914	229
724	915	228
725	917	227
726	918	226
727	919	224
728	920	223
729	921	222
730	923	220
731	924	219
732	925	218
733	926	217
734	927	215
735	928	214
736	929	213
737	930	211
738	931	210
739	933	209
740	934	208
741	935	206
742	936	205
743	937	204
744	938	202
745	940	201
746	941	200
747	942	199
748	944	198
749	945	196
750	947	195
751	948	194
752	949	192
753	950	191
754	951	190
755	953	189
756	954	187
757	955	186
758	956	185
759	957	183
760	958	182
761	959	181
762	961	180
763	962	178
764	963	177
765	965	176
766	966	175
767	969	174
768	970	172
769	971	171
770	972	170
771	974	169
772	976	168
773	977	166
774	979	165
775	980	164
776	981	162
777	982	161
778	984	160
779	985	159
780	986	157
781	988	156
782	989	155
783	990	154
784	991	152
785	992	151
786	994	150
787	995	149
788	997	147
789	998	146
790	999	145
791	1001	144
792	1003	142
793	1004	141
794	1005	140
795	1006	139
796	1007	137
797	1008	136
798	1010	135
799	1011	134
800	1012	132
801	1014	131
802	1015	130
803	1016	128
804	1017	127
805	1019	126
806	1020	125
807	1021	123
808	1022	122
809	1023	121
810	1024	120
811	1025	118
812	1027	117
813	1028	116
814	1029	114
815	1030	113
816	1031	112
817	1033	111
818	1034	109
819	1035	108
820	1036	107
821	1037	106
822	1038	104
823	1040	103
824	1041	102
825	1042	100
826	1043	99
827	1044	98
828	1045	97
829	1046	95
830	1048	94
831	1049	93
832	1050	92
833	1051	90
834	1052	89
835	1054	88
836	1055	87
837	1056	85
838	1057	84
839	1058	83
840	1060	81
841	1061	80
842	1062	79
843	1063	78
844	1064	76
845	1065	75
846	1066	74
847	1068	73
848	1069	71
849	1071	70
850	1072	69
851	1073	68
852	1074	66
853	1075	65
854	1076	64
855	1078	62
856	1079	61
857	1080	60
858	1081	59
859	1082	57
860	1084	56
861	1085	55
862	1086	54
863	1088	52
864	1089	51
865	1090	50
866	1091	49
867	1093	47
868	1094	46
869	1095	45
870	1096	44
871	1097	42
872	1098	41
873	1100	40
874	1101	39
875	1102	37
876	1103	36
877	1104	35
878	1107	34
879	1108	32
880	1109	31
881	1110	30
882	1112	28
883	1113	27
884	1115	26
885	1116	25
886	1118	23
887	1120	22
888	1121	21
889	1123	20
890	1124	18
891	1125	17
892	1126	16
893	1127	15
894	1128	13
895	1130	12
896	1131	11
897	1132	10
898	1133	8
899	1134	7
900	1136	6
901	1137	5
902	1138	3
903	1139	2
904	1140	1
905	1141	0
